"用户ID","车辆画像","能耗与里程","服务状态","对比","时间"
"1001","紧凑型纯电SUV | 城市通勤 | 家充为主","本月行驶:1180km\n平均电耗:13.8kWh/100km\n表显续航达成率:88%","电池健康:96%\n胎压:正常\n保养:距下次检查还有42天","能耗优于同级城市通勤用户约18%","2026-06"
"1002","中型纯电轿车 | 高速通勤 | 公共快充为主","本月行驶:1650km\n平均电耗:15.9kWh/100km\n高速占比:62%","电池健康:94%\n前轮胎压偏低\n空调滤芯建议检查","高速能耗略高于同级12%，建议优化胎压和车速","2026-06"
"1003","增程SUV | 家庭出行 | 周末长途","本月行驶:1420km\n纯电里程占比:71%\n亏电油耗:6.4L/100km","发动机启动次数:18次\n充电口状态正常\n保养:距下次保养还有1800km","纯电使用比例高于同类家庭用户20%","2026-06"
"1004","纯电MPV | 多人出行 | 慢充为主","本月行驶:980km\n平均电耗:18.6kWh/100km\n空调使用占比高","电池健康:95%\n后排空调滤芯需清洁\n轮胎磨损:轻度","能耗高于同类10%，主要受载重和空调影响","2026-06"
"1005","小型纯电车 | 短途代步 | 低频用车","本月行驶:420km\n平均电耗:11.9kWh/100km\n长时间停放:9天","电池健康:97%\n12V小电瓶电压偏低\n建议补电检查","低频用车用户中电耗表现优秀，但小电瓶风险偏高","2026-06"
"1006","性能纯电轿跑 | 激烈驾驶较多 | 快充为主","本月行驶:1320km\n平均电耗:19.8kWh/100km\n急加速次数偏高","电池健康:93%\n后轮磨损:中度\n制动片状态正常","能耗高于同级25%，与驾驶风格强相关","2026-06"
"1007","纯电SUV | 北方城市 | 露天停车","本月行驶:900km\n平均电耗:17.2kWh/100km\n低温空调耗电明显","电池健康:95%\n胎压:正常\n热泵系统工作正常","低温环境下续航达成率处于同类平均水平","2026-06"
"1008","插混轿车 | 网约车运营 | 高频充电","本月行驶:3100km\n纯电里程占比:54%\n综合能耗稳定","电池健康:92%\n刹车片磨损:中度\n保养:建议提前预约","运营强度高于普通用户，服务检查频率应提高","2026-06"
"1009","中大型纯电SUV | 亲子家庭 | 市区加郊游","本月行驶:1260km\n平均电耗:16.8kWh/100km\n露营外放电:3次","电池健康:96%\n空调滤芯正常\n后轮胎压略低","外放电使用频率高于同类，建议关注剩余电量规划","2026-06"
"1010","纯电旅行车 | 长途自驾 | 高速快充","本月行驶:2380km\n平均电耗:17.6kWh/100km\n快充次数:14次","电池健康:94%\n快充温控正常\n雨刮片建议更换","长途使用频率高于同类35%，补能规划表现良好","2026-06"
